DateTime,AddedIPs,RemovedIPs
1592342719,1,0
1592343618,1,0
1592344217,2,0
1592345121,2,0
1592345718,1,0
1592346316,4,0
1592346618,1,0
1592347218,1,0
1592348117,1,0
1592348719,1,0
1592349918,1,0
1592351417,3,0
1592351716,1,0
1592352616,11,0
1592353218,1,0
1592353819,1,0
1592354417,2,0
1592355316,1,0
1592357416,3,0
1592358319,0,1
1592358916,1,0
1592359819,1,0
1592360717,1,0
1592361018,1,0
1592361316,2,0
1592361617,1,0
1592362517,2,0
1592364318,1,0
1592364619,1,0
1592365817,1,0
1592366116,1,0
1592367618,1,0
1592367917,1,0
1592368217,0,1
1592368818,0,1
1592369716,1,0
1592371518,1,0
1592381417,8,0
1592401218,1,0
1592404218,0,1
1592410217,10,0
1592423417,1,0
1592439016,9,0
1592467816,12,0
1592470819,0,1
1592489117,2,0
1592489418,2,0
1592489719,2,0
1592490018,1,0
1592491218,2,0
1592491517,1,0
1592491817,3,0
1592492418,1,0
1592493918,3,0
1592494217,2,0
1592494818,2,0
1592495119,1,0
1592495416,2,0
1592496019,1,0
1592496618,17,0
1592496916,1,0
1592497518,1,0
1592498116,2,0
1592498418,1,0
1592498719,2,0
1592499316,2,0
1592499618,1,0
1592500817,1,0
1592501416,2,0
1592502017,1,0
1592502615,2,0
1592503218,2,0
1592503518,1,0
1592503818,1,0
1592505019,1,0
1592505317,1,0
1592505619,1,0
1592506217,1,0
1592507121,26,0
1592507418,1,0
1592507717,1,0
1592509217,1,0
1592509520,2,0
1592510718,1,0
1592511017,1,0
1592511317,2,0
1592511618,1,0
1592511919,2,0
1592512220,14,0
1592513418,7,0
1592514018,2,0
1592514318,3,0
1592515216,3,0
1592516117,1,0
1592517316,1,0
1592518817,1,0
1592519717,2,0
1592520916,1,0
1592521218,2,0
1592521818,1,0
1592522418,1,0
1592523919,1,0
1592524216,1,0
1592524516,1,0
1592525717,7,0
1592526017,1,0
1592526319,1,0
1592526618,1,0
1592527218,2,0
1592527819,3,0
1592529017,2,0
1592529918,1,0
1592530217,1,0
1592532018,1,0
1592532918,2,0
1592534718,1,0
1592535017,1,0
1592535316,1,0
1592536518,2,0
1592538319,2,0
1592538916,2,0
1592539218,1,0
1592539518,1,0
1592540719,1,0
1592541019,1,0
1592541317,1,0
1592541617,57,0
1592544017,1,0
1592549715,1,0
1592550319,1,0
1592554217,9,0
1592554517,0,1
1592555717,0,1
1592558720,5,2
1592559916,1,0
1592583016,9,0
1592596516,2,0
1592597118,1,0
1592598319,1,0
1592599521,1,0
1592600420,1,0
1592601616,2,0
1592603117,3,0
1592604020,2,0
1592604321,2,0
1592605218,1,0
1592606718,1,0
1592607018,2,0
1592607918,1,0
1592608217,1,0
1592610319,1,0
1592610616,1,0
1592611517,1,0
1592611816,13,0
1592612118,1,0
1592612416,1,0
1592612719,1,0
1592613317,2,0
1592613919,1,0
1592614218,1,0
1592614517,1,0
1592614819,2,0
1592616017,1,0
1592617216,2,0
1592618115,1,0
1592619018,1,0
1592619617,1,0
1592619916,1,0
1592620516,24,0
1592620817,1,0
1592622317,1,0
1592623518,1,0
1592623817,1,0
1592624417,4,0
1592624720,1,0
1592625916,1,1
1592626217,3,0
1592626818,1,0
1592627716,2,0
1592628616,1,0
1592629217,2,0
1592629818,2,0
1592630117,1,0
1592631018,1,0
1592632217,1,0
1592634020,1,1
1592634325,1,0
1592634618,1,0
1592634915,5,0
1592635519,1,0
1592635819,1,0
1592636117,1,0
1592636418,3,0
1592637017,3,0
1592637317,1,0
1592637918,1,0
1592640617,10,0
1592641219,1,0
1592641516,1,0
1592642117,2,0
1592643618,1,0
1592644218,2,0
1592644518,1,0
1592645118,1,0
1592646017,2,0
1592647219,3,0
1592648119,1,0
1592648417,1,0
1592648719,1,0
1592649618,1,0
1592649917,1,1
1592650516,1,0
1592650818,1,0
1592651117,1,0
1592651717,2,0
1592652617,2,0
1592653218,2,0
1592653518,2,0
1592654116,1,0
1592654420,2,0
1592654717,1,0
1592655618,1,0
1592657118,1,0
1592657418,1,0
1592657719,1,0
1592658320,1,0
1592659217,1,0
1592659517,1,0
1592660416,2,0
1592661317,1,0
1592662219,1,0
1592662518,2,0
1592662817,1,0
1592663418,59,0
1592663716,1,0
1592664017,2,0
1592664319,1,0
1592664616,1,0
1592664917,1,0
1592667917,2,0
1592668819,2,0
1592669417,5,0
1592671217,1,0
1592672116,1,0
1592672419,1,0
1592673917,3,0
1592674218,1,0
1592674816,1,1
1592675717,1,0
1592676616,1,0
1592676919,1,0
1592677518,4,0
1592678718,1,0
1592680216,1,0
1592680517,1,0
1592680819,1,0
1592681120,1,0
1592681419,1,0
1592681716,3,0
1592682916,1,0
1592683217,1,0
1592685316,1,0
1592686216,1,0
1592686517,1,0
1592688916,1,0
1592689217,1,0
1592689519,2,0
1592690117,1,0
1592690419,1,0
1592691017,2,0
1592691317,1,0
1592692516,1,0
1592692818,1,0
1592693118,1,0
1592693716,1,0
1592696417,1,0
1592697017,1,0
1592698218,7,0
1592698516,3,0
1592699118,1,0
1592699418,1,0
1592699717,3,0
